ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,City,Country,,,
542,40.6709165,16.6316834,Aree Ricettive all'aperto,RADOGNA CAMP,MATERACEA SRL PAOLO MONTAGNA,Masseria Radogna,Matera,Italy,,,
543,40.666379,16.6043199,Casa religiosa di ospitalita',ala sx II piano villaggio del fanciullo,PADRI ROGAZIONISTI/ALESSANDRO POLIZZI,,Matera,Italy,cessato,,
544,40.661812,16.610742,OSTELLO,l'ostello dei sassi,MATERAMA DI ROCCO CORRADO & C.,VIA CASALNUOVO 50,Matera,Italy,6616720,,
545,40.6727176,16.6077398,OSTELLO,THE ROCK HOSTEL,CIANNELLA FRANCESCA,VIA SANTO STEFANO 96,Matera,Italy,42529,,
839,40.662797,16.605177,Casa per Ferie,CASA DI SPIRITUALITA' S. ANNA,MONS. SALVATORE LIGUORIO,RECINTO MASTRONARDI 2E,Matera,Italy,40856,,
840,40.668666,16.607355,Casa per Ferie,ISTITUTO SACRO CUORE,SUORE DEL SACRO CUORE,RECINTO MARIO PAGANO,Matera,Italy,38448,,
841,40.667228,16.611243,Casa per Ferie,LE MONACELLE,AMBROSECCHIA SALVATORE ANTONIETTA,VIA RISCATTO 9-10,Matera,Italy,40884,,
842,40.639796,16.594616,TURISMO RURALE,TERRA DEI SASSI,FRANCO GRANIERI,CONTRADA SANT'ELIGIO,Matera,Italy,,,
843,40.664835,16.488199,casa religiosa di ospitalita',ADOTTIAMO UN VESCOVO EMERITO,,CONTRADA TIMMARI,Matera,Italy,,,
844,40.666827,16.613438,Casa per ferie,IL CARRUBO,APD IL CARRUBO,VIA SAN POTITO/ REC.OSPEDALE VECCHIO 20-21-22-23-12,Matera,Italy,43507,,POSTI LETTO13